stadium_id,name,city,state,country,latitude,longitude
LAX99,Los Angeles Memorial Coliseum,Los Angeles,CA,USA,34.0141,-118.2879
LON00,Wembley Stadium,London,,England,51.5560,-0.2795
LON01,Twickenham Stadium,London,,England,51.4560,-0.3410
LON02,Tottenham Hotspur Stadium,London,,England,51.6043,-0.0664
MEX00,Estadio Azteca,Mexico City,,Mexico,19.3029,-99.1505
MIA00,Hard Rock Stadium,Miami Gardens,FL,USA,25.9580,-80.2389
MIN00,Hubert H. Humphrey Metrodome,Minneapolis,MN,USA,44.9740,-93.2581
MIN01,U.S. Bank Stadium,Minneapolis,MN,USA,44.9736,-93.2575
MIN98,TCF Bank Stadium,Minneapolis,MN,USA,44.9760,-93.2239
NAS00,Nissan Stadium,Nashville,TN,USA,36.1665,-86.7713
NOR00,Caesars Superdome,New Orleans,LA,USA,29.9511,-90.0812
NYC00,Giants Stadium,East Rutherford,NJ,USA,40.8135,-74.0744
NYC01,MetLife Stadium,East Rutherford,NJ,USA,40.8135,-74.0745
OAK00,Oakland Coliseum,Oakland,CA,USA,37.7516,-122.2005
PHI00,Lincoln Financial Field,Philadelphia,PA,USA,39.9008,-75.1675
PHI99,Veterans Stadium,Philadelphia,PA,USA,39.9058,-75.1861
PHO00,State Farm Stadium,Glendale,AZ,USA,33.5276,-112.2626
PHO99,Sun Devil Stadium,Tempe,AZ,USA,33.4267,-111.9325
PIT00,Acrisure Stadium,Pittsburgh,PA,USA,40.4468,-80.0158
PIT99,Three Rivers Stadium,Pittsburgh,PA,USA,40.4463,-80.0158
SAN00,Alamodome,San Antonio,TX,USA,29.4169,-98.4770
SAO00,Arena Corinthians,Sao Paulo,,Brazil,-23.5453,-46.4742
SDG00,Qualcomm Stadium,San Diego,CA,USA,32.7831,-117.1195
SEA00,Lumen Field,Seattle,WA,USA,47.5952,-122.3316
SEA98,Seattle Kingdome,Seattle,WA,USA,47.5952,-122.3316
SEA99,Husky Stadium,Seattle,WA,USA,47.6503,-122.3017
SFO00,Candlestick Park,San Francisco,CA,USA,37.7135,-122.3860
SFO01,Levi's Stadium,Santa Clara,CA,USA,37.4033,-121.9694
STL00,The Dome at America's Center,St. Louis,MO,USA,38.6329,-90.1886
TAM00,Raymond James Stadium,Tampa,FL,USA,27.9759,-82.5033
VEG00,Allegiant Stadium,Las Vegas,NV,USA,36.0909,-115.1833
WAS00,Northwest Stadium,Landover,MD,USA,38.9077,-76.8645
hist-anaheim,Anaheim Stadium,Anaheim,CA,USA,33.8003,-117.8827
hist-atlanta-fulton,Atlanta-Fulton County Stadium,Atlanta,GA,USA,33.7345,-84.3892
hist-busch,Busch Memorial Stadium,St. Louis,MO,USA,38.6226,-90.1928
hist-cal-memorial,California Memorial Stadium,Berkeley,CA,USA,37.8713,-122.2508
hist-cleveland-municipal,Cleveland Municipal Stadium,Cleveland,OH,USA,41.5061,-81.6995
hist-cotton-bowl,Cotton Bowl,Dallas,TX,USA,32.7796,-96.7597
hist-astrodome,Houston Astrodome,Houston,TX,USA,29.6850,-95.4072
hist-harvard,Harvard Stadium,Boston,MA,USA,42.3670,-71.1256
hist-kc-municipal,Kansas City Municipal Stadium,Kansas City,MO,USA,39.0897,-94.5580
hist-kezar,Kezar Stadium,San Francisco,CA,USA,37.7669,-122.4556
hist-liberty-bowl,Liberty Bowl Memorial Stadium,Memphis,TN,USA,35.1216,-89.9840
hist-memorial-baltimore,Memorial Stadium (Baltimore),Baltimore,MD,USA,39.3245,-76.6041
hist-memorial-clemson,Memorial Stadium (Clemson),Clemson,SC,USA,34.6786,-82.8434
hist-metropolitan,Metropolitan Stadium,Bloomington,MN,USA,44.8549,-93.2422
hist-milwaukee-county,Milwaukee County Stadium,Milwaukee,WI,USA,43.0280,-87.9712
hist-orange-bowl,Orange Bowl,Miami,FL,USA,25.7781,-80.2206
hist-rfk,RFK Memorial Stadium,Washington,DC,USA,38.8898,-76.9717
hist-rice,Rice Stadium,Houston,TX,USA,29.7166,-95.4093
hist-rose-bowl,Rose Bowl,Pasadena,CA,USA,34.1613,-118.1676
hist-shea,Shea Stadium,Flushing,NY,USA,40.7571,-73.8458
hist-stanford,Stanford Stadium,Stanford,CA,USA,37.4347,-122.1610
hist-tampa-stadium,Tampa Stadium,Tampa,FL,USA,27.9797,-82.5034
hist-tiger-detroit,Tiger Stadium,Detroit,MI,USA,42.3320,-83.0685
hist-tulane,Tulane Stadium,New Orleans,LA,USA,29.9450,-90.1176
hist-vanderbilt,Vanderbilt Stadium,Nashville,TN,USA,36.1440,-86.8089
hist-war-memorial,War Memorial Stadium,Buffalo,NY,USA,42.9060,-78.8380
hist-wrigley,Wrigley Field,Chicago,IL,USA,41.9484,-87.6553
hist-yale-bowl,Yale Bowl,New Haven,CT,USA,41.3128,-72.9615
hist-yankee,Yankee Stadium,Bronx,NY,USA,40.8267,-73.9276
