source,source_venue_id,name,latitude,longitude
cbbd,731,The Dome at America's Center,38.632785,-90.188551
cbbd,734,Bill Battle Coliseum,33.515513,-86.851710
cbbd,736,Fargodome,46.903022,-96.801342
cbbd,738,Myrtle Beach Convention Center,33.706027,-78.874210
cbbd,739,Reliant Stadium,29.684858,-95.410802
cbbd,74,Lenovo Center,35.803398,-78.721917
cbbd,743,Memorial Coliseum (KY),38.039491,-84.500387
cbbd,744,Ford Field,42.339957,-83.045617
cbbd,746,Charlotte Coliseum,35.145348,-80.897776
cbbd,747,MetraPark,45.799989,-108.477109
cbbd,75,Mullins Center,42.389520,-72.533450
cbbd,750,U.S. Cellular Center,35.467106,-83.009692
cbbd,751,Show Place Arena,38.810859,-76.749419
cbbd,76,UD Arena,39.734790,-84.201931
cbbd,78,Klotsche Center,43.079493,-87.879494
cbbd,79,Petersen Events Center,40.444000,-79.962119
cbbd,8,McKale Memorial Center,32.230428,-110.945994
cbbd,80,Watsco Center,25.715310,-80.279384
cbbd,81,Tucker Center,30.437793,-84.286689
cbbd,82,Amica Mutual Pavilion,41.823619,-71.418090
cbbd,83,Edmunds Center,29.039541,-81.301821
cbbd,84,Colonial Life Arena,33.994784,-81.037355
cbbd,86,XFINITY Center,38.995624,-76.941336
cbbd,87,WVU Coliseum,39.649446,-79.981404
cbbd,88,JMA Wireless Dome,43.036284,-76.136360
cbbd,89,Jadwin Gymnasium,40.343409,-74.648647
cbbd,9,Food City Center,36.004892,-83.975258
cbbd,90,KFC Yum! Center,38.257696,-85.753860
cbbd,91,Littlejohn Coliseum,34.680187,-82.846473
cbbd,92,Siegel Center,37.552875,-77.452827
cbbd,95,Knapp Center,41.604778,-93.652263
cbbd,96,Thomas Assembly Center,32.532073,-92.658485
cbbd,97,Pete Hanna Center,33.463831,-86.797165
cbbd,98,Ramsey Center,35.303670,-83.182267
cbbd,99,Prather Coliseum,31.743963,-93.095119
cfbd,1027,Alex G. Spanos Stadium,35.298425,-120.665041
cfbd,10463,Grand Rapids Christian High School,42.919699,-85.622688
cfbd,10465,Mayo Field,32.480144,-93.728303
cfbd,1056,Rose Bowl,34.161349,-118.167667
cfbd,11488,Centreville Bank Stadium,41.869157,-71.382995
cfbd,11589,Hinchliffe Stadium,40.918380,-74.181322
cfbd,11591,Lokken Stadium,46.916415,-98.015907
